"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"VEN","Venezuela","Latin America & Caribbean",1922,0.66187531,0.67465192,0.65093744,0.0284346315965676,-0.157200189229128,0.00240367628904836,0.186498805052443,0.13076829727128,0.104005769443538,-0.0018800812160964,-0.247569369610691,0.257982028330678,0.163039854447898,0.0386746039607306,0.0546786003337115,0.0584303976836585,-0.0321831101509774,-0.012486101790365,0.0448178941898894,0.0824683242488853,0.171059117185498,0.243559349313679,-0.230532922765726,0.0221261636421363,0,0.0608095806927156,0.189107425665071,0,0.289983605089268,"Part 1"
"BEL","Belgium","Europe & Central Asia",870,0.59108514,0.68838915,0.65594888,0.0134097314478923,-0.1297247670009,0.0798237215353622,0.124772474789632,0.0599521357784046,0,-0.0258098993869013,-0.104665202576535,0.142400691946109,0.0523920252523636,0,0.0434193109709217,0.0640828856983367,-0.0572839574237094,0.0255948621281861,0,0.0727668547561846,0.176605876904097,0.22498464316704,-0.179912244803398,0.0412306548497161,0.0555627572998716,0.119462489626758,0.270542913751121,0,0.292032572694285,"Part 1"
"PER","Peru","Latin America & Caribbean",2334,0.64221412,0.60511985,0.64189523,0.0369685885585089,-0.214261999690165,-0.0235359985441231,0.349359636226106,0.104320066907636,0.110658071183583,0.0509806434067276,-0.271322655653089,0.237292347411567,0.0761476457952176,0.0399989869902365,0.0997966327601507,-0.00230812468021895,-0.0221798341764095,-0.00270071228450797,0.0542497899943364,0.117837487081019,0.0859535324156628,0.266120832579992,-0.241570216307341,0,0.0138169823166767,0.0454927334481194,0.151217872843125,0,0.302176582057266,"Part 1"
"IDN","Indonesia","East Asia & Pacific",7078,0.68346483,0.59462428,0.6877023,0.0343022449554156,-0.100319300835395,0.0156197492308413,0.134549055067694,0.070864091476802,0.164127958071489,0.107557648522778,-0.239018996895446,0.194915673075444,0.123485168101211,0.070032844956789,0.106558009308629,0.0591757814187455,-0.0797416594802933,0.0457462347927154,0.0425394090698665,0.0798064678043979,0.128714077492389,0.134983892597239,-0.133306292074345,0.0134293706030388,0.01394502716095,0.0410247486560065,0.116608738873778,0,0.30239348074535,"Part 2"
"KHM","Cambodia","East Asia & Pacific",872,0.62185323,0.45318782,0.6198343,0.197263362276476,-0.192282141482454,-0.0199002101517374,0.12027042942904,0.21085153657013,0.194650311963764,0.105264434284567,-0.22367475783763,0.0241997149334689,0.224451347882811,0.11174388943243,0.155195549610465,0.014620699389776,-0.148624420077304,0.115122742684639,0.0383404286987867,0.0608789273493937,0.0707277181073976,0.0436956343820301,-0.0464795006359005,0.0577678490006289,0,0.0577678490006289,0.0377560611913562,0,0.302875301930122,"Part 2"
"KAZ","Kazakhstan","Europe & Central Asia",445,0.42140383,0.66672665,0.53834617,-0.0250757472470912,-0.074945436116162,-0.00631791028629439,0.0780111628810545,-0.000866883427761929,0,-0.0289336914340359,-0.0843001337199762,0.0743463897845469,-0.0115668608081525,0,0,0.0691400305998616,-0.0376961996514268,-0.00816594794696068,0,0,0.0891905418684138,0.330966784307679,-0.240196578200517,0,0,0.0302956535664677,0.347998619659615,0,0.31503412095804,"Part 2"
"ZAF","South Africa","Sub-Saharan Africa",4113,0.69722623,0.79510166,0.67301941,-0.0163118797572186,-0.321241756955823,0.19235001604474,0.2465327971709,0.104671592052392,0.0725586913648016,-0.0337376999325638,-0.105737608089509,0.131067573226997,0.0747850955135525,0.0791458571702527,0.0917135240931271,0.133471382063554,-0.0985016527848375,-0.00385484654268015,0.0271022580633607,0.0900447173669477,0.198582542134234,0.171750376795602,-0.208890535478293,0,0.0362365104826018,0.0984384679276893,0.194711169133092,0,0.317057114644374,"Part 2"
"RUS","Russia","Europe & Central Asia",1166,0.48421735,0.59271768,0.67575276,0.0196755623697279,-0.0271319515067396,-0.00291135579724858,-0.000709135037060039,-0.000283094254576443,0,0.0238706905596698,-0.0697758511904735,0.0295027210901455,0.0635039704207094,0,0,0.0445337982010232,-0.0352191154940036,0.0276703728588626,0,0,0.135706509298553,0.179776688201086,-0.152659670588404,0,0.0292947435839531,0.121624163219997,0.41275197545966,0,0.3178172039596,"Part 2"
"KGZ","Kyrgyzstan","Europe & Central Asia",561,0.396281,0.63970107,0.44673198,0.0123926659908937,-0.105962366357372,0.0373918096488584,0.114937480496288,0.0467096114770371,0,-0.0191963719893553,-0.0652584764186427,0.0744694925409334,0.0555020293496443,0,0.0694107274306368,0.0213221298948582,0.00306980006069993,-0.0342838015972989,0,0,0.140466988825132,0.404476385278612,-0.323873055105425,0,0.0507883810292747,0,0.271195043044598,0,0.321421120866814,"Part 2"
"AUS","Australia","East Asia & Pacific",2843,0.66272563,0.7686318,0.63302606,-0.0140494590643199,-0.0418427734482224,0.014732198652709,0.0336771588725162,0.0176937621356049,0,0.00864465201591007,-0.0871884592467737,0.0369116192198547,0.0671660764723851,0,0.0866593349692983,0.0305758946086856,-0.0835249291553311,0.111027966679404,0,0.061025132614404,0.102556276507361,0.134220478824811,-0.110526630821299,0,0.0759458938652109,0.182206321429979,0.462924654529326,0,0.328242876863127,"Part 2"
"MNG","Mongolia","East Asia & Pacific",540,0.64109594,0.75461243,0.65337944,-0.0198753089646172,-0.182122082317087,-0.0249302647270957,0.156315446623707,0.128303212957743,0.0968413014364297,0.0200100773112422,-0.274463975358817,0.206168264191412,0.141754087046206,0.0396237509551299,0.121352365525621,0.0246403244603929,-0.0469976437386585,0.0119504430360765,0.0594756143298966,0.0827133574851048,0.128199464290237,0.23072050602438,-0.173966008445495,0,0,0.105427275487974,0.232180658816879,0,0.33011789120033,"Part 2"
"GMB","Gambia","Sub-Saharan Africa",12586,0.36300567,0.49079609,0.36928231,0.44954711279453,-0.62434586716584,0.202046343633172,0.3303125003098,0.213578637319524,0.0774564798540884,-4.37333639136672e-05,-0.0652481059989922,0.0423457193955625,0.0511797265648049,0.0496979247881891,0.0343425252340919,0.014848965205134,-0.0343450442857393,0.0117612090759764,0.0754007780299014,0.0658444981988786,0.101600392773435,0.0669340965659619,-0.119561243185188,0.0412025273971566,0.0352598272154366,0.0549053648956868,0.121451221792039,0,0.330516141996695,"Part 2"
"GTM","Guatemala","Latin America & Caribbean",7053,0.48650506,0.29238713,0.49391422,0.348812036761379,-0.347453443375982,0.046629943679618,0.187810104464235,0.132923859409171,0.134090949149808,0.067432944022472,-0.152373397560811,0.108117802297738,0.107979905009168,0.0452811908691459,0.0656143021365325,0.0726090712837332,-0.106221355687153,0.0666435931722275,0.0309076491012249,0.0542665315119526,0.121385086668559,0.0572596564945315,-0.0847872665724385,0.00637975498919982,0.0323607733867707,0.0626692359760003,0.0576217466652393,0,0.335178626169462,"Part 2"
